Date,Forecast_Value,Best_Case,Worst_Case
2023-01-01,1095.6245408294242,1053.739717291937,1143.0892425607383
2023-01-02,1084.1091626276286,1038.7685261558352,1126.2425755141994
2023-01-03,1068.6906531671336,1024.0733100604048,1114.722060066054
2023-01-04,1061.31819065405,1017.1065745753932,1104.4611925723266
2023-01-05,1050.441844972275,1007.5339391137389,1092.3092616887634
2023-01-06,1042.309727703891,996.9457435324019,1088.6209571093875
2023-01-07,1039.3927807524517,992.6612858820494,1085.6938952492087
2023-01-08,1028.4560329041285,984.1536581200567,1072.7652793480488
2023-01-09,1021.2022182242704,978.0318002532047,1066.1958297371414
2023-01-10,1010.5650064663043,965.3128460524896,1058.7307304352712
2023-01-11,1008.3889889178234,961.5231423522102,1052.2442928770595
2023-01-12,1003.0166643578826,962.5495538610018,1046.6720116871602
2023-01-13,1000.5878123307876,959.1815967337508,1047.361632024317
2023-01-14,1003.4664571759683,960.7972995038367,1047.5085729066445
2023-01-15,998.314205203359,952.2022018307648,1039.9009697235251
2023-01-16,996.7358051540721,952.5921482299668,1045.0777079160323
2023-01-17,991.5741425344289,948.7902228993063,1037.3046678641765
2023-01-18,994.5917766924488,950.8166527488858,1039.4820547414447
2023-01-19,994.0592365113333,950.8461568481214,1038.4466639304455
2023-01-20,996.0554394551563,954.995365121636,1041.498356489733
2023-01-21,1002.8954216667123,960.6657343969364,1047.5150627535666
2023-01-22,1001.204152730198,960.0858620801049,1046.4245678795478
2023-01-23,1002.5622834769549,955.4262872953921,1046.343421959281
2023-01-24,999.8010425543757,957.0263983211903,1044.019580767044
2023-01-25,1004.6834023169213,959.6132134543309,1048.614867866817
2023-01-26,1005.4917480413218,960.8353070792925,1047.294448126963
2023-01-27,1008.3274381847258,962.2076822543453,1053.1058187259832
2023-01-28,1015.5374721582562,970.5869586092971,1060.784321330853
2023-01-29,1013.7870713153,968.5485063625549,1056.6964322438696
2023-01-30,1014.7040570189224,972.7595187112852,1059.7777129432172
2023-01-31,1011.1722791025195,965.9880144423129,1059.0812504079504
2023-02-01,1015.0112540841436,973.0616450290489,1057.1677113680641
2023-02-02,1014.5622858185253,970.8596594745412,1055.4864058797568
2023-02-03,1015.9864948807419,973.5326621313369,1060.4398169946298
2023-02-04,1021.6900090402188,977.344546904898,1063.9191676835514
2023-02-05,1018.3951545100751,973.2001294362701,1060.109075818857
2023-02-06,1017.7835621599926,972.5055666843513,1061.490566315168
2023-02-07,1012.7884683315151,966.5550289606989,1057.528675385452
2023-02-08,1015.273391355933,971.4214056848804,1063.3234560783453
2023-02-09,1013.6174732032156,968.413118504125,1061.8536004488503
2023-02-10,1014.0129240403905,967.5750828347142,1056.2915691624548
2023-02-11,1018.8898281586205,972.6479178587275,1064.6844872306874
2023-02-12,1014.9871516958582,971.2615371841184,1061.2364226584612
2023-02-13,1013.9958618864184,968.2975716902508,1060.4871213874003
2023-02-14,1008.8514281181833,961.0642426615535,1053.7666541401434
2023-02-15,1011.4128720509962,967.9127547485392,1055.869984702578
2023-02-16,1010.0486384142115,964.1982039824369,1054.554723164192
2023-02-17,1010.9347030958174,967.3492623304347,1056.476936425525
2023-02-18,1016.4585388220482,974.0262386912596,1061.6592119952961
2023-02-19,1013.3558246976705,971.969387242734,1059.1208059165276
2023-02-20,1013.2896391418733,970.2501837915631,1058.2299326147152
2023-02-21,1009.1655223761892,968.246199817977,1049.495465443879
2023-02-22,1012.8114770765725,970.2213540257444,1058.1868957323945
2023-02-23,1012.5647671765937,968.2376070539935,1057.9274908887007
2023-02-24,1014.5709072126891,967.9492440955181,1057.030745628707
2023-02-25,1021.2100549440163,978.5035953985198,1063.4829956067247
2023-02-26,1019.1696028522048,974.9455781615947,1063.0138248178403
2023-02-27,1020.08883551645,974.8855354750985,1063.69296655535
2023-02-28,1016.8528835737267,970.0073664519493,1060.5204642456677
2023-03-01,1021.2731060722242,974.8457266707437,1062.819339342295
2023-03-02,1021.6741423232113,975.0844974826258,1069.285534384702
2023-03-03,1024.1930249319294,979.9935450182228,1068.461233732913
2023-03-04,1031.205569744913,986.2460782606596,1075.124497540431
2023-03-05,1029.3988448092198,981.6829822914426,1073.3403772759934
2023-03-06,1030.4155949897347,988.2924794610512,1074.8653923658055
2023-03-07,1027.1478653656318,982.939894601266,1074.047056179624
2023-03-08,1031.4169699163479,987.2353993435526,1073.8899976595787
2023-03-09,1031.560063078948,988.7734050372594,1080.5340418888015
2023-03-10,1033.7287235570643,991.8749182266946,1078.0623988061175
2023-03-11,1040.3147844741445,994.9217560542606,1087.0707006721573
2023-03-12,1038.0222304085644,991.2445093159147,1083.1681514799704
2023-03-13,1038.4761852254896,996.2743222544922,1085.0298409645798
2023-03-14,1034.6206043907969,987.403783437038,1080.9328803474543
2023-03-15,1038.2931267015097,993.2794861401721,1085.5221684828507
2023-03-16,1037.8460638303652,993.0851601303463,1080.842466861688
2023-03-17,1039.4445949870915,997.5117349215266,1087.0214093569696
2023-03-18,1045.4922805198526,1002.5663940147264,1087.8488726682292
2023-03-19,1042.7027213653942,1001.1799564196779,1089.2561954925711
2023-03-20,1042.7432626029374,997.4826912163006,1087.7492152276438
2023-03-21,1038.5280021113974,995.4134904773733,1081.910193107105
2023-03-22,1041.8972645939557,995.5028447294142,1085.54798300368
2023-03-23,1041.2038079248548,994.8290822819507,1081.944797762113
2023-03-24,1042.611176076484,996.5100001809338,1085.7686250578076
2023-03-25,1048.5194331291111,1005.8598445991825,1097.1949955244365
2023-03-26,1045.6370950065607,997.7193021585994,1089.758332188361
